,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
618,,Owings Mills,MAC,DIII,,,,,Mustangs,,,Stevenson,,Maryland,Stevenson
619,,Alpine,ASC,DIII,,,,,Lobos,,,Sul Ross State,,Texas,Sul Ross State
620,,Bronx,ECFC,DIII,,,,,Privateers,,,SUNY-Maritime,,New York,SUNY-Maritime
621,,Morrisville,Empire 8,DIII,,,,,Mustangs,,,SUNY-Morrisville,,New York,SUNY-Morrisville
622,,Selinsgrove,Centennial,DIII,,,,,River Hawks,,,Susquehanna,,Pennsylvania,Susquehanna
623,,Seguin,ASC,DIII,,,,,Bulldogs,,,Texas Lutheran,,Texas,Texas Lutheran
624,,Greenville,PAC,DIII,,,,,Tomcats,,,Thiel,,Pennsylvania,Thiel
625,,Angola,MIAA,DIII,,,,,Thunder,,,Trine,,Indiana,Trine
626,,Hartford,NESCAC,DIII,,,,,Bantams,,,Trinity (CT),,Connecticut,Trinity (CT)
627,,San Antonio,SAA,DIII,,,,,Tigers,,,Trinity (TX),,Texas,Trinity (TX)
628,,Medford,NESCAC,DIII,,,,,Jumbos,,,Tufts,,Massachusetts,Tufts
629,,Schenectady,Liberty,DIII,,,,,Dutchmen,,,Union,,New York,Union
630,,Collegeville,Centennial,DIII,,,,,Bears,,,Ursinus,,Pennsylvania,Ursinus
631,,Utica,Empire 8,DIII,,,,,Pioneers,,,Utica,,New York,Utica
632,,Crawfordsville,NCAC,DIII,,,,,Little Giants,,,Wabash,,Indiana,Wabash
633,,Waverly,ARC,DIII,,,,,Knights,,,Wartburg,,Iowa,Wartburg
634,,Washington,PAC,DIII,,,,,Presidents,,,Washington & Jefferson,,Pennsylvania,Washington & Jefferson
635,,Lexington,ODAC,DIII,,,,,Generals,,,Washington & Lee,,Virginia,Washington & Lee
636,,St. Louis,CCIW,DIII,,,,,Bears,,,Washington (MO),,Missouri,Washington (MO)
637,,Waynesburg,PAC,DIII,,,,,Yellow Jackets,,,Waynesburg,,Pennsylvania,Waynesburg
638,,Dover,NJAC,DIII,,,,,Wolverines,,,Wesley,,Delaware,Wesley
639,,Middletown,NESCAC,DIII,,,,,Cardinals,,,Wesleyan,,Connecticut,Wesleyan
640,,Danbury,MASCAC,DIII,,,,,Colonials,,,Western Connecticut,,Connecticut,Western Connecticut
641,,Springfield,CCC Football,DIII,,,,,Golden Bears,,,Western New England,,Massachusetts,Western New England
642,,Westfield,MASCAC,DIII,,,,,Owls,,,Westfield State,,Massachusetts,Westfield State
643,,Fulton,UMAC,DIII,,,,,Blue Jays,,,Westminster (MO),,Missouri,Westminster (MO)
644,,New Wilmington,PAC,DIII,,,,,Titans,,,Westminster (PA),,Pennsylvania,Westminster (PA)
645,,Wheaton,CCIW,DIII,,,,,Thunder,,,Wheaton,,Illinois,Wheaton (IL)
646,,Whittier,SCIAC,DIII,,,,,Poets,,,Whittier,,California,Whittier
647,,Spokane,NWC,DIII,,,,,Pirates,,,Whitworth,,Washington,Whitworth
648,,Chester,MAC,DIII,,,,,Pride,,,Widener,,Pennsylvania,Widener
649,,Wilkes-Barre,MAC,DIII,,,,,Colonels,,,Wilkes,,Pennsylvania,Wilkes
650,,Salem,NWC,DIII,,,,,Bearcats,,,Willamette,,Oregon,Willamette
651,,Wayne,NJAC,DIII,,,,,Pioneers,,,William Paterson,,New Jersey,William Paterson
652,,Williamstown,NESCAC,DIII,,,,,Ephs,,,Williams,,Massachusetts,Williams
653,,Wilmington,OAC,DIII,,,,,Quakers,,,Wilmington,,Ohio,Wilmington
654,,Milwaukee,NACC,DIII,,,,,Warriors,,,Wisconsin Lutheran,,Wisconsin,Wisconsin Lutheran
655,,Eau Claire,WIAC,DIII,,,,,Blugolds,,,UW–Eau Claire,,Wisconsin,UW–Eau Claire
656,,La Crosse,WIAC,DIII,,,,,Eagles,,,UW–La Crosse,,Wisconsin,UW–La Crosse
657,,Oshkosh,WIAC,DIII,,,,,Titans,,,UW–Oshkosh,,Wisconsin,UW–Oshkosh
658,,Platteville,WIAC,DIII,,,,,Pioneers,,,UW–Platteville,,Wisconsin,UW–Platteville
659,,River Falls,WIAC,DIII,,,,,Falcons,,,UW–River Falls,,Wisconsin,UW–River Falls
660,,Stevens Point,WIAC,DIII,,,,,Pointers,,,Wisconsin–Stevens Point,,Wisconsin,UW–Stevens Point
661,,Menomonie,WIAC,DIII,,,,,Blue Devils,,,Wisconsin–Stout,,Wisconsin,UW–Stout
662,,Whitewater,WIAC,DIII,,,,,Warhawks,,,Wisconsin–Whitewater,,Wisconsin,UW–Whitewater
663,,Springfield,NCAC,DIII,,,,,Tigers,,,Wittenberg,,Ohio,Wittenberg
664,,Wooster,NCAC,DIII,,,,,Fighting Scots,,,Wooster,,Ohio,Wooster
665,,Worcester,NEWMAC,DIII,,,,,Engineers,,,Worcester Poly,,Massachusetts,Worcester Poly
666,,Worcester,MASCAC,DIII,,,,,Lancers,,,Worcester State,,Massachusetts,Worcester State
